ID	category	collection_year_factor	country	state	crop	inferred_sex	CYP337b3	filter1	ARM_anc	AH	material	DNA_extraction_concentration	library_concentration	number_bases_passing_Q20	percent_mapped	chr24_inversion_genotype	chr26_inversion_genotype	chr21_inversion_genotype	filter1
CAM046251	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	male	NA	Yes	0.979492073	0.035789783	adult	NA	NA	1829535889	91.7	NA	NA	NA	N
CAM046252	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	male	NA	No	0.967913725	0.055203342	adult	NA	NA	1536338175	91.02	NA	NA	NA	N
CAM046253	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	male	NA	No	0.985890278	0.023472761	adult	NA	NA	1492538081	90.8	NA	NA	NA	N
CAM046254	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	male	NA	Yes	0.976270096	0.041897933	adult	NA	NA	2015347137	90.85	ARM2/ARM2	ARM2/ARM2	ZEA/ARM1	Y
CAM046255	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	female	NA	No	0.972415275	0.04681179	adult	NA	NA	1347708743	91.22	NA	NA	NA	N
CAM046256	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	female	NA	Yes	0.977595958	0.040030751	adult	NA	NA	1637778193	90.28	ARM2/ARM2	ARM1/ARM2	ARM1/ARM2	Y
CAM046257	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	female	NA	No	0.982656957	0.029456371	adult	NA	NA	1586299380	92.58	NA	NA	NA	N
CAM046258	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	female	NA	No	0.970278493	0.052110149	adult	NA	NA	1340365208	89.78	NA	NA	NA	N
CAM046259	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	female	NA	No	0.972636745	0.045534498	adult	NA	NA	845380408	91.07	NA	NA	NA	N
CAM046260	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	female	NA	No	0.978949412	0.035814659	adult	NA	NA	1127231465	91.11	NA	NA	NA	N
CAM046263	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	male	NA	No	0.978858007	0.036038966	adult	NA	NA	1232204334	92.56	NA	NA	NA	N
CAM046264	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	male	NA	No	0.97940255	0.035506211	adult	NA	NA	1446624012	91.77	NA	NA	NA	N
CAM046265	Brazilian_helicoverpa	2017	Brazil	Mato Grosso	mixed	male	NA	No	0.983952602	0.026623121	adult	NA	NA	1184118195	92.31	NA	NA	NA	N
CAM046271	Brazilian_helicoverpa	2015	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	No	0.027662926	0.047292774	adult	NA	NA	798688513	87.98	NA	NA	NA	N
CAM046272	Brazilian_helicoverpa	2015	Brazil	Mato Grosso do Sul	soybean_maize_cotton	male	NA	No	0.972982675	0.045231778	adult	NA	NA	844706861	70.67	NA	NA	NA	N
CAM046280	Brazilian_helicoverpa	2015	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	Yes	0.024435254	0.044312522	adult	NA	NA	2603004724	93.63	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046284	Brazilian_helicoverpa	2015	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	No	0.987706772	0.020091274	adult	NA	NA	1594070163	86.95	NA	NA	NA	N
CAM046290	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	Yes	0.040979828	0.068149453	adult	NA	NA	2788233185	93.66	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046296	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	male	NA	No	0.969696742	0.050372489	adult	NA	NA	1340277773	92.96	NA	NA	NA	N
CAM046298	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	No	0.987564306	0.020122675	adult	NA	NA	1046616207	93.07	NA	NA	NA	N
CAM046300	Brazilian_helicoverpa	2017	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	No	0.979636434	0.033475242	adult	NA	NA	1310522492	93.07	NA	NA	NA	N
CAM046302	Brazilian_helicoverpa	2017	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	Yes	0.976489123	0.04249172	adult	NA	NA	2875276523	93.09	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046306	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	No	0.046042847	0.06670675	adult	NA	NA	908343371	91.51	NA	NA	NA	N
CAM046307	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	Yes	0.020375828	0.036632126	adult	NA	NA	2678552936	93.3	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046308	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	Yes	0.137753832	0.233500896	adult	NA	NA	2327804166	92.63	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046311	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	male	NA	Yes	0.980022588	0.033396889	adult	NA	NA	1735743839	94.5	ARM2/ARM2	ARM1/ARM2	ARM1/ARM1	Y
CAM046312	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	Yes	0.969767823	0.050149907	adult	NA	NA	2979796678	93.59	ARM2/ARM2	ARM2/ARM2	ARM1/ARM2	Y
CAM046313	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	Yes	0.346119156	0.63376259	adult	NA	NA	2209223717	89.13	ZEA_ARM_recombinant	ZEA_ARM_recombinant	ZEA_ARM_recombinant	Y
CAM046315	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	No	0.982273113	0.028922816	adult	NA	NA	660891846	92.45	NA	NA	NA	N
CAM046316	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	male	NA	No	0.967603702	0.046109016	adult	NA	NA	1434501899	92.58	NA	NA	NA	N
CAM046317	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	male	NA	Yes	0.962605531	0.069005611	adult	NA	NA	3071779699	94.58	ARM2/ARM2	ARM1/ARM1	ARM1/ARM1	Y
CAM046318	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	male	NA	No	0.974603499	0.042212978	adult	NA	NA	1173248224	92.56	NA	NA	NA	N
CAM046319	Brazilian_helicoverpa	2016	Brazil	Mato Grosso do Sul	soybean_maize_cotton	male	NA	No	0.977785354	0.035325987	adult	NA	NA	1149704311	92.81	NA	NA	NA	N
CAM046321	Brazilian_helicoverpa	2017	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	No	0.021339134	0.033010557	adult	NA	NA	1460258569	93.44	NA	NA	NA	N
CAM046322	Brazilian_helicoverpa	2017	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	Yes	0.069315241	0.057580035	adult	NA	NA	2480210771	93.76	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046323	Brazilian_helicoverpa	2017	Brazil	Mato Grosso do Sul	soybean_maize_cotton	male	NA	Yes	0.037096313	0.066919106	adult	NA	NA	1705893783	93.83	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046326	Brazilian_helicoverpa	2017	Brazil	Mato Grosso do Sul	soybean_maize_cotton	male	NA	Yes	0.07453014	0.134150873	adult	NA	NA	2165708973	91.86	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
CAM046327	Brazilian_helicoverpa	2017	Brazil	Mato Grosso do Sul	soybean_maize_cotton	male	NA	No	0.044172669	0.080488261	adult	NA	NA	1054831969	91.51	NA	NA	NA	N
CAM046328	Brazilian_helicoverpa	2017	Brazil	Mato Grosso do Sul	soybean_maize_cotton	female	NA	Yes	0.038775969	0.072535611	adult	NA	NA	1916234506	90.4	ZEA/ZEA	ZEA/ZEA	ZEA/ZEA	Y
